#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.05e+01    1.10e+01      6.72e-01    6.79e-01      3.31e-01    3.44e-01    1.0e-03
    100      7.63e+00    9.65e+00      6.84e-02    7.98e-02      2.41e-01    3.05e-01    1.0e-03
    200      5.90e+00    6.67e+00      1.71e-02    5.85e-03      1.87e-01    2.11e-01    1.0e-03
    300      3.83e+00    4.00e+00      4.09e-02    6.77e-02      1.21e-01    1.26e-01    1.0e-03
    400      4.00e+00    3.78e+00      6.99e-02    6.50e-02      1.26e-01    1.19e-01    1.0e-03
    500      3.42e+00    3.64e+00      1.97e-03    6.39e-04      1.08e-01    1.15e-01    1.0e-03
    600      3.22e+00    2.91e+00      6.64e-02    7.79e-02      1.02e-01    9.19e-02    1.0e-03
    700      2.93e+00    2.88e+00      1.84e-02    2.14e-02      9.26e-02    9.11e-02    1.0e-03
    800      2.80e+00    2.68e+00      1.85e-02    1.22e-02      8.86e-02    8.49e-02    1.0e-03
    900      2.80e+00    2.24e+00      2.02e-02    2.30e-02      8.84e-02    7.10e-02    1.0e-03
   1000      3.16e+00    2.75e+00      1.48e-02    2.43e-02      9.98e-02    8.70e-02    1.0e-03
   1100      2.68e+00    2.20e+00      7.80e-02    8.03e-02      8.45e-02    6.94e-02    1.0e-03
   1200      2.41e+00    2.25e+00      3.61e-02    4.08e-02      7.61e-02    7.12e-02    1.0e-03
   1300      2.30e+00    2.20e+00      5.18e-02    5.26e-02      7.26e-02    6.94e-02    1.0e-03
   1400      2.26e+00    2.21e+00      3.49e-02    3.24e-02      7.14e-02    6.99e-02    1.0e-03
   1500      2.30e+00    2.29e+00      1.43e-02    6.93e-03      7.27e-02    7.23e-02    1.0e-03
   1600      2.68e+00    2.79e+00      2.27e-02    2.81e-02      8.48e-02    8.83e-02    1.0e-03
   1700      2.25e+00    2.07e+00      2.92e-02    2.32e-02      7.12e-02    6.55e-02    1.0e-03
   1800      2.15e+00    2.18e+00      3.53e-02    3.80e-02      6.80e-02    6.90e-02    1.0e-03
   1900      2.36e+00    2.06e+00      2.27e-02    2.52e-02      7.45e-02    6.52e-02    1.0e-03
   2000      1.96e+00    2.03e+00      2.82e-02    3.68e-02      6.21e-02    6.43e-02    1.0e-03
   2100      2.09e+00    2.20e+00      2.03e-02    1.50e-02      6.61e-02    6.95e-02    1.0e-03
   2200      1.93e+00    1.67e+00      1.42e-02    9.50e-03      6.11e-02    5.28e-02    1.0e-03
   2300      1.92e+00    1.94e+00      3.58e-03    1.19e-03      6.09e-02    6.14e-02    1.0e-03
   2400      1.90e+00    1.74e+00      8.18e-03    1.53e-02      6.01e-02    5.51e-02    1.0e-03
   2500      2.09e+00    1.94e+00      4.79e-02    5.44e-02      6.60e-02    6.13e-02    1.0e-03
   2600      2.04e+00    1.55e+00      1.74e-02    1.87e-02      6.45e-02    4.90e-02    1.0e-03
   2700      2.33e+00    2.21e+00      5.26e-02    4.68e-02      7.36e-02    6.98e-02    1.0e-03
   2800      1.84e+00    1.66e+00      2.20e-02    1.78e-02      5.81e-02    5.24e-02    1.0e-03
   2900      1.89e+00    1.65e+00      2.28e-02    2.09e-02      5.97e-02    5.21e-02    1.0e-03
   3000      1.80e+00    1.84e+00      3.52e-02    3.92e-02      5.68e-02    5.80e-02    1.0e-03
   3100      1.86e+00    1.76e+00      1.69e-02    2.09e-02      5.88e-02    5.57e-02    1.0e-03
   3200      1.95e+00    1.76e+00      4.06e-03    7.36e-03      6.15e-02    5.57e-02    1.0e-03
   3300      1.78e+00    1.86e+00      2.08e-02    2.50e-02      5.64e-02    5.88e-02    1.0e-03
   3400      2.07e+00    1.93e+00      1.49e-02    1.51e-02      6.55e-02    6.10e-02    1.0e-03
   3500      1.90e+00    1.66e+00      4.39e-02    4.31e-02      5.99e-02    5.25e-02    1.0e-03
   3600      1.78e+00    1.90e+00      1.08e-02    1.09e-02      5.63e-02    6.01e-02    1.0e-03
   3700      2.10e+00    2.01e+00      9.52e-04    4.13e-03      6.63e-02    6.35e-02    1.0e-03
   3800      1.93e+00    1.55e+00      4.74e-02    4.74e-02      6.09e-02    4.89e-02    1.0e-03
   3900      3.02e+00    2.69e+00      3.16e-02    3.12e-02      9.55e-02    8.50e-02    1.0e-03
   4000      1.78e+00    1.69e+00      1.72e-02    1.50e-02      5.64e-02    5.33e-02    1.0e-03
   4100      1.71e+00    1.68e+00      1.44e-03    8.34e-03      5.42e-02    5.32e-02    1.0e-03
   4200      1.94e+00    1.62e+00      1.55e-03    4.67e-03      6.14e-02    5.11e-02    1.0e-03
   4300      1.76e+00    1.75e+00      3.70e-02    3.95e-02      5.56e-02    5.52e-02    1.0e-03
   4400      1.66e+00    1.61e+00      8.61e-04    1.86e-03      5.24e-02    5.10e-02    1.0e-03
   4500      1.90e+00    1.76e+00      3.22e-02    3.53e-02      6.01e-02    5.57e-02    1.0e-03
   4600      1.76e+00    1.67e+00      2.00e-02    2.37e-02      5.58e-02    5.28e-02    1.0e-03
   4700      1.77e+00    1.68e+00      1.61e-02    2.74e-02      5.60e-02    5.32e-02    1.0e-03
   4800      1.79e+00    1.50e+00      1.60e-02    2.32e-02      5.65e-02    4.75e-02    1.0e-03
   4900      1.98e+00    1.67e+00      4.25e-02    4.16e-02      6.25e-02    5.29e-02    1.0e-03
   5000      1.63e-01    1.48e-01      4.57e-03    2.31e-03      5.68e-02    5.48e-02    5.9e-06
   5100      1.49e-01    1.80e-01      2.73e-03    7.30e-03      5.50e-02    5.68e-02    5.9e-06
   5200      1.51e-01    1.66e-01      2.98e-03    6.92e-03      5.44e-02    5.15e-02    5.9e-06
   5300      1.49e-01    1.43e-01      1.49e-03    3.92e-03      5.58e-02    5.02e-02    5.9e-06
   5400      1.52e-01    1.56e-01      2.95e-03    5.60e-03      5.50e-02    5.16e-02    5.9e-06
   5500      1.45e-01    1.41e-01      1.66e-03    1.27e-03      5.38e-02    5.31e-02    5.9e-06
   5600      1.40e-01    1.41e-01      2.08e-03    4.38e-03      5.18e-02    4.86e-02    5.9e-06
   5700      1.47e-01    1.38e-01      2.42e-03    1.95e-03      5.43e-02    5.13e-02    5.9e-06
   5800      1.54e-01    1.38e-01      1.93e-03    2.98e-03      5.64e-02    5.00e-02    5.9e-06
   5900      1.51e-01    1.51e-01      1.14e-03    4.40e-03      5.69e-02    5.25e-02    5.9e-06
   6000      1.41e-01    1.29e-01      1.57e-03    1.09e-03      5.28e-02    4.87e-02    5.9e-06
   6100      1.42e-01    1.39e-01      2.35e-03    4.89e-03      5.22e-02    4.60e-02    5.9e-06
   6200      1.40e-01    1.38e-01      2.43e-03    1.36e-03      5.15e-02    5.19e-02    5.9e-06
   6300      1.44e-01    1.60e-01      2.56e-03    2.99e-03      5.29e-02    5.90e-02    5.9e-06
   6400      1.47e-01    1.41e-01      1.67e-03    5.37e-04      5.49e-02    5.35e-02    5.9e-06
   6500      1.43e-01    1.28e-01      9.51e-04    1.16e-03      5.39e-02    4.83e-02    5.9e-06
   6600      1.40e-01    1.39e-01      2.64e-03    2.15e-03      5.14e-02    5.15e-02    5.9e-06
   6700      1.46e-01    1.37e-01      2.86e-03    6.40e-04      5.29e-02    5.18e-02    5.9e-06
   6800      1.34e-01    1.38e-01      1.60e-03    2.98e-03      4.97e-02    5.02e-02    5.9e-06
   6900      1.45e-01    1.56e-01      1.78e-03    5.77e-03      5.32e-02    5.08e-02    5.9e-06
   7000      1.42e-01    1.33e-01      2.85e-03    2.14e-04      5.14e-02    5.04e-02    5.9e-06
   7100      1.45e-01    1.59e-01      3.14e-03    6.82e-03      5.18e-02    4.89e-02    5.9e-06
   7200      1.44e-01    1.16e-01      4.10e-03    2.42e-03      4.99e-02    4.23e-02    5.9e-06
   7300      1.49e-01    1.32e-01      1.47e-03    2.09e-03      5.57e-02    4.91e-02    5.9e-06
   7400      1.41e-01    1.50e-01      3.03e-03    5.07e-03      5.09e-02    5.04e-02    5.9e-06
   7500      1.40e-01    1.38e-01      2.41e-03    8.67e-04      5.08e-02    5.23e-02    5.9e-06
   7600      1.39e-01    1.31e-01      1.99e-03    3.29e-04      5.12e-02    4.98e-02    5.9e-06
   7700      1.47e-01    1.47e-01      2.53e-03    4.45e-03      5.30e-02    5.06e-02    5.9e-06
   7800      1.44e-01    1.30e-01      3.34e-03    2.04e-03      5.13e-02    4.83e-02    5.9e-06
   7900      1.37e-01    1.39e-01      2.44e-03    5.66e-03      5.00e-02    4.39e-02    5.9e-06
   8000      1.59e-01    1.88e-01      5.78e-03    8.67e-03      5.09e-02    5.51e-02    5.9e-06
   8100      1.41e-01    1.53e-01      2.92e-03    5.76e-03      5.13e-02    4.97e-02    5.9e-06
   8200      1.44e-01    1.38e-01      2.15e-03    1.79e-03      5.33e-02    5.18e-02    5.9e-06
   8300      1.43e-01    1.36e-01      9.52e-04    6.74e-04      5.40e-02    5.16e-02    5.9e-06
   8400      1.44e-01    1.40e-01      2.63e-03    3.38e-03      5.19e-02    5.01e-02    5.9e-06
   8500      1.39e-01    1.44e-01      1.92e-03    2.50e-04      5.15e-02    5.47e-02    5.9e-06
   8600      1.41e-01    1.33e-01      1.10e-03    2.00e-03      5.33e-02    4.95e-02    5.9e-06
